text,final_target
switchfoot awww thats bummer shoulda got david carr third day,0
upset cant update facebook texting might cry result school today also blah,0
kenichan dived many times ball managed save rest go bounds,0
whole body feels itchy like fire,0
nationwideclass behaving im mad cant see,0
kwesidei whole crew,0
need hug,0
loltrish hey long time see yes rains bit bit lol im fine thanks hows,0
tatiana_k nope didnt,0
twittera que muera,0
spring break plain city snowing,0
repierced ears,0
caregiving couldnt bear watch thought ua loss embarrassing,0
octolinz counts idk either never talk anymore,0
smarrison wouldve first didnt gun really though zac snyders doucheclown,0
iamjazzyfizzle wish got watch miss iamlilnicki premiere,0
hollis death scene hurt severely watch film wry directors cut,0
file taxes,0
lettya ahh ive always wanted see rent love soundtrack,0
fakerpattypattz oh dear drinking forgotten table drinks,0
alydesigns day didnt get much done,0
one friend called asked meet mid valley todaybut ive time sigh,0
angry_barista baked cake ated,0
week going hoped,0
blagh class tomorrow,0
hate call wake people,0
going cry sleep watching marley,0
im sad misslilly,0
ooooh lol leslie ok wont leslie wont get mad,0
meh almost lover exception track gets depressed every time,0
hacked account aim make new one,0
alielayus want go promote gear groove unfornately ride may b going one anaheim may though,0
thought sleeping option tomorrow realizing evaluations morning work afternoon,0
julieebaby awe love miss,0
humpninja cry asian eyes sleep night,0
ok im sick spent hour sitting shower cause sick stand held back puke like champ bed,0
cocomix ill tell ya story later good day ill workin like three hours,0
missxu sorry bed time came gmt,0
fleurylis dont either depressing dont think even want know kids suitcases,0
bed class work gym class another day thats gon na fly miss girlfriend,0
really dont feel like getting today got study tomorrows practical exam,0
hes reason teardrops guitar one enough break heart,0
sad sad sad dont know hate feeling wan na sleep still cant,0
jonathanrknight awww soo wish see finally comfortable im sad missed,0
falling asleep heard tracy girls body found sad heart breaks family,0
viennah yay im happy job also means less time,0
checked user timeline blackberry looks like twanking still happening ppl still probs w bgs uids,0
oh manwas ironing jeancjumbes fave top wear meeting burnt,0
strangely sad lilo samro breaking,0
tea oh im sorry didnt think retweeting,0
broadband plan massive broken promise via wwwdiigocomtautao still waiting broadband,0
localtweeps wow tons replies may unfollow see friends tweets youre scrolling feed lot,0
duck chicken taking wayyy long hatch,0
put vacation photos online yrs ago pc crashed forget name site,0
need hug,0
andywana sure pos much want dont think trade away company assets sorry andy,0
oanhlove hate happens,0
sad feeling dallas going show got ta say though youd think shows would use music game mmm,0
ugh degrees tomorrow,0
u move thought u already sd hmmm random u found glad hear yer well,0
batmanyng miss ps commission wutcha playing copped blood sand,0
leaving parking lot work,0
life cool,0
sadly though ive never gotten experience post coitus cigarette never,0
nice day bad rain comes tomorrow,0
starrbby bad wont around lost job cant even pay phone bill lmao aw shucks,0
damm back school tomorrow,0
mo jobs money hell min wage fn clams hour,0
katortiz forever see soon,0
lt_algonquin agreed saw failwhale allllll day today,0
jdarter oh haha dude dont really look em unless someone says hey added sorry im terrible need pop,0
ninjen im sure youre right need start working nikster jared least,0
really hate people diss bands trace clearly ugly,0
gym attire today puma singlet adidas shortsand black business socks leather shoes lucky run cute girls,0
wont show location,0
picnic phone smells like citrus,0
ashleyac donkey sensitive comments nevertheless hed med glad see mug asap charger still awol,0
new csi tonight fml,0
think arms sore tennis,0
wonders someone u like much make unhappy split seccond depressed,0
sleep soon hate saying bye see tomorrow night,0
statravelau got ur newsletter fares really unbelievable shame already booked paid mine,0
missin boo,0
markhardy itm,0
damn dont chalk chalkboard useless,0
blast getty villa hates shes sore throat day getting worse,0
msdrama hey missed ya meeting sup mama,0
tummy hurts wonder hypnosis anything working get stop smoking,0
always fat ones,0
januarycrimson sorry babe fam annoys thankfully theyre asleep right muahaha evil laugh,0
hollywoodheat paid attention covered photoshop webpage design class undergrad,0
wednesday bday dont know,0
poor cameron hills,0
pray please ex threatening start sh myour babies st birthday party jerk still headache,0
makeherfamous hmm u really enjoy problems constants u think things find someone ulike,0
strider sick little puppy,0
ryleegracewana go steves party sadly since easter wnt b able much ohh well,0
hey actually one bracket pools bad wasnt one money,0
stark dont follow either work,0
bad nite favorite teams astros spartans lose nite tw good,0
body missing northern calif girl found police found remains missing northern california girl,0
mangaaa hope increase capacity fast yesterday pain got fail whale times hours,0
behind classes work,0
watching quothousequot,0
kpreyes remember bum leg strikes back time serious,0
paradisej cool kinds complaints laptop online overheating recalls,0
emily glad mommy done training new job misses,0
would rather first party send bad messages rd party send mixed ones sophmore year,0
henkuyinepu overrated,0
marykatherine_q know heard afternoon wondered thing moscow behind times,0
laying bed voice,0
im sooo sad killed kutner house whyyyyyyyy,0
jacobsummers sorry tell mea culpa really sorry,0
alliana didnt make sense suicide thing refuse believe actually happened,0
salancaster hope ok,0
mercedesashley damn grind inspirational saddening time dont want stop cuz like u much love,0
hibanick yeah aw know wudnt stand chance,0
ugh cant sleep,0
hanging crooners wan na sing cant sucks,0
erre_sc aaw miss ya im leaving bh tomorrow quotmorningquot think aww wan na go beach w u girls,0
pissed theres asbas radio station,0
wednesday bday n dont know,0
know life flipped upside thought head ramen sounds good,0
pain back sides hurt mention crying made fail,0
late night snack glass oj bc im quotdown sicknessquot back sleepugh hate getting sick,0
allyheman im big fan camilla belle,0
grum wah cant see clip must elstupido work filters cant wait till get puter something else blame ex broke mine,0
week seems get longer longer terms much need much im actually going get done,0
im cold,0
thecoolestout ehhh dont weathers gon na take turn ugly tomorrow,0
chelserlynn haha cooooold still go show incredible stuff,0
hoping tummy rumbles go away soon,0
knights_ notice told id working tomorrow called agency follow said,0
almost bedtime,0
im missing babe long alive im happy yawwwnn im tired love imma try sleep hopefully headstart,0
aghsnow,0
miss kenny powers,0
bridgetsbeaches thank letting people know im sad direct message got wasnt actually bridget,0
india missed th test victory n th consecutive win without loss,0
jonathanrknight guess thats,0
sadly going bed,0
ozesteph shame hear stephan,0
mrsaintnick hey im leavin morning,0
intending finish editing page novel manuscript tonight probably happen pages left,0
laid around much today head hurts,0
twista still havent read thampth princess diaries saving francesca made cry end hmm easy books,0
nokia died,0
mom might breast cancer wont find anything like week im worried,0
going sleep hoping tomorrow better day,0
